Dataset name,Region name,Atom name,I: Area Bader charge,I: Average curvature,I: Average curvature-scaled torsion,I: Average net plane curvature,I: Average torsion,I: Deformation (kinetic) energy,I: Deformation (kinetic) negative energy,I: Deformation (kinetic) positive energy,I: Deformation charge,I: Deformation negative charge,I: Deformation negative volume,I: Deformation positive charge,I: Deformation positive volume,I: Deformation volume,I: Electron Density SCF,I: Electron Localization Function SCF,I: Gradient bundle partition function contribution (from IN Te),I: Gradient bundle probability (from IN Te),I: Kinetic Energy Density SCF,I: Solid angle (alpha),I: Te per electron,I: Te per valence electron,I: Valence Bader charge,I: Valence density,I: Volume,I: Volume Bader charge,I: Volume fraction,I: Area Bader charge (boundary),I: Average curvature (boundary),I: Average curvature-scaled torsion (boundary),I: Average net plane curvature (boundary),I: Average torsion (boundary),I: Deformation (kinetic) energy (boundary),I: Deformation (kinetic) negative energy (boundary),I: Deformation (kinetic) positive energy (boundary),I: Deformation charge (boundary),I: Deformation negative charge (boundary),I: Deformation negative volume (boundary),I: Deformation positive charge (boundary),I: Deformation positive volume (boundary),I: Deformation volume (boundary),I: Electron Density SCF (boundary),I: Electron Localization Function SCF (boundary),I: Gradient bundle partition function contribution (from IN Te) (boundary),I: Gradient bundle probability (from IN Te) (boundary),I: Kinetic Energy Density SCF (boundary),I: Solid angle (alpha) (boundary),I: Te per electron (boundary),I: Te per valence electron (boundary),I: Valence Bader charge (boundary),I: Valence density (boundary),I: Volume (boundary),I: Volume Bader charge (boundary),I: Volume fraction (boundary),I: Area Bader charge (with boundary error),I: Average curvature (with boundary error),I: Average curvature-scaled torsion (with boundary error),I: Average net plane curvature (with boundary error),I: Average torsion (with boundary error),I: Deformation (kinetic) energy (with boundary error),I: Deformation (kinetic) negative energy (with boundary error),I: Deformation (kinetic) positive energy (with boundary error),I: Deformation charge (with boundary error),I: Deformation negative charge (with boundary error),I: Deformation negative volume (with boundary error),I: Deformation positive charge (with boundary error),I: Deformation positive volume (with boundary error),I: Deformation volume (with boundary error),I: Electron Density SCF (with boundary error),I: Electron Localization Function SCF (with boundary error),I: Gradient bundle partition function contribution (from IN Te) (with boundary error),I: Gradient bundle probability (from IN Te) (with boundary error),I: Kinetic Energy Density SCF (with boundary error),I: Solid angle (alpha) (with boundary error),I: Te per electron (with boundary error),I: Te per valence electron (with boundary error),I: Valence Bader charge (with boundary error),I: Valence density (with boundary error),I: Volume (with boundary error),I: Volume Bader charge (with boundary error),I: Volume fraction (with boundary error)
cis-1-3-butadiene_EEF00125-z_SP,Bond 5 from INS: Electron Density SCF,C 2: Max (node 6110) from INS: Electron Density SCF,0.029770562,391.66952,9.4767759,247.57679,262.60002,-0.023613881,-0.23383929,0.21022541,-0.034566518,-0.40614221,-9.5504492,0.3715757,5.0813786,-4.4690706,1.8274434,7.4797716,7.7784744,0.30793811,1.8384208,0.30953565,1949.657,3267.5765,0.034566518,1.2083721,21.565727,-0.2890343,0.25640151,0.028951834,7.0995964,0.39241817,3.9113058,2.0519092,-0.018120656,-0.018206917,8.6260865e-05,-0.029234138,-0.029430856,-0.37630662,0.00019671751,0.025598259,-0.35070836,0.080369326,0.40636941,0.60644662,0.02400831,0.09148427,0.018220193,100.56261,188.74154,0.029234138,0.043928939,1.1817776,0.0039337619,0.014050515,0.015294645 +/- 0.014475917,388.11973 +/- 3.5497982,9.2805669 +/- 0.19620909,245.62114 +/- 1.9556529,261.57407 +/- 1.0259546,-0.014553553 +/- 0.0090603281,-0.22473583 +/- 0.0091034586,0.21018228 +/- 4.3130432e-05,-0.019949449 +/- 0.014617069,-0.39142679 +/- 0.014715428,-9.3622959 +/- 0.18815331,0.37147734 +/- 9.8358756e-05,5.0685794 +/- 0.01279913,-4.2937164 +/- 0.17535418,1.7872587 +/- 0.040184663,7.2765869 +/- 0.20318471,7.4752511 +/- 0.30322331,0.29593395 +/- 0.012004155,1.7926787 +/- 0.045742135,0.30042556 +/- 0.0091100966,1899.3757 +/- 50.281304,3173.2057 +/- 94.370769,0.019949449 +/- 0.014617069,1.1864076 +/- 0.02196447,20.974839 +/- 0.59088881,-0.29100118 +/- 0.001966881,0.24937625 +/- 0.0070252573
cis-1-3-butadiene_EEF00125-z_SP,Bond 5 from INS: Kinetic Energy Density SCF,C 2: Max (node 6110) from INS: Kinetic Energy Density SCF,0.040852504,392.78328,9.5812273,248.15225,262.53622,-0.030550011,-0.24077542,0.21022541,-0.045734237,-0.41730993,-9.7135308,0.3715757,5.0813786,-4.6321522,1.8495779,7.5700298,7.9797936,0.31590803,1.8647874,0.31507173,1977.0789,3323.0099,0.045734237,1.2194344,21.868281,-0.28958592,0.25999866,0.032110127,6.8402059,0.41372987,3.6603164,1.9524862,-0.02004053,-0.020123096,8.2566701e-05,-0.032406137,-0.032550799,-0.45000732,0.00014466209,0.017178894,-0.43282843,0.082518525,0.39441765,0.63964182,0.025322458,0.094885665,0.019104775,102.52287,195.24721,0.032406137,0.044308974,1.1740591,0.0012339522,0.013958746,0.02479744 +/- 0.016055063,389.36317 +/- 3.420103,9.3743624 +/- 0.20686494,246.32209 +/- 1.8301582,261.55997 +/- 0.97624312,-0.020529747 +/- 0.010020265,-0.23071387 +/- 0.010061548,0.21018413 +/- 4.1283351e-05,-0.029531168 +/- 0.016203069,-0.40103453 +/- 0.0162754,-9.4885271 +/- 0.22500366,0.37150336 +/- 7.2331043e-05,5.0727891 +/- 0.0085894472,-4.415738 +/- 0.21641421,1.8083186 +/- 0.041259263,7.372821 +/- 0.19720882,7.6599727 +/- 0.31982091,0.3032468 +/- 0.012661229,1.8173446 +/- 0.047442833,0.30551934 +/- 0.0095523877,1925.8174 +/- 51.261434,3225.3863 +/- 97.623604,0.029531168 +/- 0.016203069,1.1972799 +/- 0.022154487,21.281251 +/- 0.58702953,-0.29020289 +/- 0.00061697608,0.25301929 +/- 0.0069793731
cis-1-3-butadiene_EEF00125-z_SP,Bond 5 from INS: Volume,C 2: Max (node 6110) from INS: Volume,-0.046387104,379.28275,8.8303795,241.64875,264.99493,0.02321166,-0.18701375,0.21022541,0.042177937,-0.32939776,-8.2729353,0.3715757,5.0813786,-3.1915568,1.6763695,6.8997784,6.3988703,0.25332165,1.657425,0.27166374,1755.337,2875.2746,-0.042177937,1.133042,19.657864,-0.27405945,0.23371834,0.030536794,6.213614,0.33893886,3.6411095,1.6829558,-0.01923561,-0.019381041,0.00014543019,-0.030806789,-0.03102027,-0.4056637,0.0002134805,0.015362891,-0.39030081,0.074017737,0.36150769,0.61856113,0.024487905,0.085590314,0.017425755,94.853668,183.03263,0.030806789,0.039166227,1.0753656,0.0026943617,0.01278535,-0.061655501 +/- 0.015268397,376.17594 +/- 3.106807,8.66091 +/- 0.16946943,239.82819 +/- 1.8205547,264.15345 +/- 0.84147789,0.032829465 +/- 0.0096178052,-0.17732323 +/- 0.0096905203,0.2101527 +/- 7.2715095e-05,0.057581332 +/- 0.015403395,-0.31388762 +/- 0.015510135,-8.0701035 +/- 0.20283185,0.37146896 +/- 0.00010674025,5.0736971 +/- 0.0076814457,-2.9964064 +/- 0.1951504,1.6393606 +/- 0.037008869,6.7190245 +/- 0.18075385,6.0895897 +/- 0.30928056,0.2410777 +/- 0.012243953,1.6146299 +/- 0.042795157,0.26295086 +/- 0.0087128776,1707.9102 +/- 47.426834,2783.7582 +/- 91.516314,-0.057581332 +/- 0.015403395,1.1134589 +/- 0.019583114,19.120182 +/- 0.53768281,-0.27540664 +/- 0.0013471809,0.22732567 +/- 0.0063926749
cis-1-3-butadiene_EEF00125-z_SP,Bond 6 from INS: Electron Density SCF,full,0.079996596,1825.5468,79.251802,1278.3523,1438.6269,-0.032339876,-0.39722986,0.36488998,-0.029203827,-0.73519535,-18.318897,0.70599153,20.460148,2.1412505,2.7553149,39.486916,3220.4584,1.3084009,2.3977853,1.3058852,5754.2177,7061.0966,0.029203827,2.1435444,75.659047,0.23274448,1.3313432,0.033248663,6.4765499,0.33768001,3.3292391,0.75032657,-0.020941741,-0.02095854,1.6799337e-05,-0.033545014,-0.033590153,-0.41825576,4.5138953e-05,0.021339509,-0.39691625,0.081511774,0.41841204,0.65596092,0.025968506,0.094116582,0.01912674,101.79123,195.38116,0.033545014,0.043258295,1.2118186,0.004934313,0.014407681,0.063372264 +/- 0.016624332,1822.3085 +/- 3.238275,79.082962 +/- 0.16884,1276.6877 +/- 1.6646195,1438.2517 +/- 0.37516328,-0.021869006 +/- 0.01047087,-0.38675059 +/- 0.01047927,0.36488159 +/- 8.3996683e-06,-0.01243132 +/- 0.016772507,-0.71840028 +/- 0.016795076,-18.109769 +/- 0.20912788,0.70596896 +/- 2.2569477e-05,20.449478 +/- 0.010669754,2.3397086 +/- 0.19845813,2.714559 +/- 0.040755887,39.27771 +/- 0.20920602,3220.1304 +/- 0.32798046,1.2954167 +/- 0.012984253,2.350727 +/- 0.047058291,1.2963219 +/- 0.0095633698,5703.3221 +/- 50.895617,6963.406 +/- 97.690578,0.01243132 +/- 0.016772507,2.1219152 +/- 0.021629148,75.053138 +/- 0.60590931,0.23027732 +/- 0.0024671565,1.3241394 +/- 0.0072038406
cis-1-3-butadiene_EEF00125-z_SP,Bond 6 from INS: Electron Density SCF,C 2: Max (node 6132) from INS: Electron Density SCF,0.024464429,349.29868,10.470479,146.53241,101.59042,-0.032339876,-0.23198253,0.19964265,-0.029203826,-0.3995777,-7.5113774,0.37037387,9.6526279,2.1412505,1.810847,10.041682,7.7901657,0.30840095,1.8077355,0.30588524,1936.7482,3243.6271,0.029203826,1.1990765,27.869015,0.17721231,0.33134322,0.033248663,6.4765499,0.33768001,3.3292391,0.75032657,-0.020941741,-0.02095854,1.6799337e-05,-0.033545014,-0.033590153,-0.41825576,4.5138953e-05,0.021339509,-0.39691625,0.081511774,0.41841204,0.65596092,0.025968506,0.094116582,0.01912674,101.79123,195.38116,0.033545014,0.043258295,1.2118186,0.004934313,0.014407681,0.0078400975 +/- 0.016624332,346.06041 +/- 3.238275,10.301639 +/- 0.16884,144.86779 +/- 1.6646195,101.21526 +/- 0.37516328,-0.021869006 +/- 0.01047087,-0.22150326 +/- 0.01047927,0.19963425 +/- 8.3996683e-06,-0.012431319 +/- 0.016772507,-0.38278262 +/- 0.016795076,-7.3022495 +/- 0.20912788,0.3703513 +/- 2.2569477e-05,9.6419581 +/- 0.010669754,2.3397086 +/- 0.19845813,1.7700911 +/- 0.040755887,9.8324763 +/- 0.20920602,7.4621852 +/- 0.32798046,0.29541669 +/- 0.012984253,1.7606772 +/- 0.047058291,0.29632187 +/- 0.0095633698,1885.8526 +/- 50.895617,3145.9365 +/- 97.690578,0.012431319 +/- 0.016772507,1.1774474 +/- 0.021629148,27.263106 +/- 0.60590931,0.17474515 +/- 0.0024671565,0.32413938 +/- 0.0072038406
cis-1-3-butadiene_EEF00125-z_SP,Bond 6 from INS: Electron Density SCF,H 4: Max (node 5458) from INS: Electron Density SCF,0.055532167,1476.2481,68.781323,1131.8199,1337.0364,1.7399238e-10,-0.16524733,0.16524733,-5.6148508e-10,-0.33561766,-10.80752,0.33561766,10.80752,-6.9227326e-09,0.94446783,29.445234,3212.6682,1,0.5900498,1,3817.4695,3817.4695,5.6148508e-10,0.94446783,47.790032,0.055532168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055532167 +/- 0,1476.2481 +/- 0,68.781323 +/- 0,1131.8199 +/- 0,1337.0364 +/- 0,1.7399238e-10 +/- 0,-0.16524733 +/- 0,0.16524733 +/- 0,-5.6148508e-10 +/- 0,-0.33561766 +/- 0,-10.80752 +/- 0,0.33561766 +/- 0,10.80752 +/- 0,-6.9227326e-09 +/- 0,0.94446783 +/- 0,29.445234 +/- 0,3212.6682 +/- 0,1 +/- 0,0.5900498 +/- 0,1 +/- 0,3817.4695 +/- 0,3817.4695 +/- 0,5.6148508e-10 +/- 0,0.94446783 +/- 0,47.790032 +/- 0,0.055532168 +/- 0,1 +/- 0
cis-1-3-butadiene_EEF00125-z_SP,Bond 6 from INS: Kinetic Energy Density SCF,full,0.078789111,1824.2464,79.194812,1277.9025,1438.6269,-0.032393037,-0.39728302,0.36488998,-0.027984345,-0.73397587,-18.191756,0.70599153,20.460148,2.2683916,2.7518767,39.517257,3220.4721,1.3089448,2.3930745,1.305111,5749.9716,7053.7545,0.027984345,2.1416548,75.721065,0.24060671,1.3320806,0.034281962,6.2899404,0.3231675,3.3461324,0.98164878,-0.021695422,-0.021722882,2.7459977e-05,-0.034583722,-0.034642493,-0.41487015,5.8770529e-05,0.013627772,-0.40124238,0.082573593,0.4270911,0.68060068,0.026943958,0.095463455,0.019475926,103.09163,198.94832,0.034583722,0.043621741,1.2368623,0.0056590037,0.014705433,0.06164813 +/- 0.017140981,1821.1014 +/- 3.1449702,79.033229 +/- 0.16158375,1276.2295 +/- 1.6730662,1438.136 +/- 0.49082439,-0.021545326 +/- 0.010847711,-0.38642158 +/- 0.010861441,0.36487625 +/- 1.3729988e-05,-0.010692484 +/- 0.017291861,-0.71665463 +/- 0.017321246,-17.984321 +/- 0.20743507,0.70596214 +/- 2.9385264e-05,20.453334 +/- 0.0068138861,2.4690128 +/- 0.20062119,2.71059 +/- 0.041286796,39.303711 +/- 0.21354555,3220.1318 +/- 0.34030034,1.2954728 +/- 0.013471979,2.3453428 +/- 0.047731728,1.295373 +/- 0.0097379628,5698.4258 +/- 51.545814,6954.2803 +/- 99.474159,0.010692484 +/- 0.017291861,2.1198439 +/- 0.021810871,75.102634 +/- 0.61843113,0.23777721 +/- 0.0028295019,1.3247279 +/- 0.0073527164
cis-1-3-butadiene_EEF00125-z_SP,Bond 6 from INS: Kinetic Energy Density SCF,C 2: Max (node 6132) from INS: Kinetic Energy Density SCF,0.023256944,347.99831,10.413489,146.08264,101.59042,-0.032393037,-0.23203569,0.19964265,-0.027984344,-0.39835822,-7.3842362,0.37037387,9.6526279,2.2683916,1.8074089,10.072023,7.8039023,0.30894476,1.8030247,0.30511098,1932.5021,3236.285,0.027984344,1.197187,27.931034,0.18507454,0.33208058,0.034281962,6.2899404,0.3231675,3.3461324,0.98164878,-0.021695422,-0.021722882,2.7459977e-05,-0.034583722,-0.034642493,-0.41487015,5.8770529e-05,0.013627772,-0.40124238,0.082573593,0.4270911,0.68060068,0.026943958,0.095463455,0.019475926,103.09163,198.94832,0.034583722,0.043621741,1.2368623,0.0056590037,0.014705433,0.0061159629 +/- 0.017140981,344.85334 +/- 3.1449702,10.251905 +/- 0.16158375,144.40957 +/- 1.6730662,101.0996 +/- 0.49082439,-0.021545326 +/- 0.010847711,-0.22117425 +/- 0.010861441,0.19962892 +/- 1.3729988e-05,-0.010692483 +/- 0.017291861,-0.38103697 +/- 0.017321246,-7.1768011 +/- 0.20743507,0.37034449 +/- 2.9385264e-05,9.645814 +/- 0.0068138861,2.4690128 +/- 0.20062119,1.7661221 +/- 0.041286796,9.8584777 +/- 0.21354555,7.4636019 +/- 0.34030034,0.29547278 +/- 0.013471979,1.755293 +/- 0.047731728,0.29537301 +/- 0.0097379628,1880.9563 +/- 51.545814,3136.8108 +/- 99.474159,0.010692483 +/- 0.017291861,1.1753761 +/- 0.021810871,27.312602 +/- 0.61843113,0.18224504 +/- 0.0028295019,0.32472786 +/- 0.0073527164
cis-1-3-butadiene_EEF00125-z_SP,Bond 6 from INS: Kinetic Energy Density SCF,H 4: Max (node 5458) from INS: Kinetic Energy Density SCF,0.055532167,1476.2481,68.781323,1131.8199,1337.0364,1.7399238e-10,-0.16524733,0.16524733,-5.6148508e-10,-0.33561766,-10.80752,0.33561766,10.80752,-6.9227326e-09,0.94446783,29.445234,3212.6682,1,0.5900498,1,3817.4695,3817.4695,5.6148508e-10,0.94446783,47.790032,0.055532168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055532167 +/- 0,1476.2481 +/- 0,68.781323 +/- 0,1131.8199 +/- 0,1337.0364 +/- 0,1.7399238e-10 +/- 0,-0.16524733 +/- 0,0.16524733 +/- 0,-5.6148508e-10 +/- 0,-0.33561766 +/- 0,-10.80752 +/- 0,0.33561766 +/- 0,10.80752 +/- 0,-6.9227326e-09 +/- 0,0.94446783 +/- 0,29.445234 +/- 0,3212.6682 +/- 0,1 +/- 0,0.5900498 +/- 0,1 +/- 0,3817.4695 +/- 0,3817.4695 +/- 0,5.6148508e-10 +/- 0,0.94446783 +/- 0,47.790032 +/- 0,0.055532168 +/- 0,1 +/- 0
cis-1-3-butadiene_EEF00125-z_SP,Bond 6 from INS: Volume,full,0.06352367,1827.2382,79.240904,1279.4615,1438.6269,-0.020384065,-0.38527405,0.36488998,-0.012625247,-0.71861677,-18.375561,0.70599153,20.460148,2.0845869,2.7308738,39.252524,3220.0985,1.2941519,2.3687209,1.2990662,5720.7584,6986.1787,0.012625247,2.1327413,75.028842,0.21222941,1.3238505,0.028214547,6.9454225,0.34970528,3.89569,2.1400687,-0.017713637,-0.017778511,6.4873995e-05,-0.028489914,-0.028638066,-0.37745584,0.00014815236,0.039992236,-0.3374636,0.078420219,0.40116967,0.56430759,0.022340089,0.089197921,0.017772461,94.484511,176.59891,0.028489914,0.042875297,1.157364,0.0041413005,0.013760253,0.049416397 +/- 0.014107273,1823.7655 +/- 3.4727113,79.066052 +/- 0.17485264,1277.5137 +/- 1.947845,1437.5568 +/- 1.0700343,-0.011527246 +/- 0.0088568186,-0.37638479 +/- 0.0088892556,0.36485755 +/- 3.2436998e-05,0.0016197103 +/- 0.014244957,-0.70429774 +/- 0.014319033,-18.186833 +/- 0.18872792,0.70591745 +/- 7.4076178e-05,20.440152 +/- 0.019996118,2.2533187 +/- 0.1687318,2.6916636 +/- 0.039210109,39.051939 +/- 0.20058484,3219.8163 +/- 0.28215379,1.2829819 +/- 0.011170044,2.3241219 +/- 0.04459896,1.29018 +/- 0.0088862305,5673.5161 +/- 47.242256,6897.8793 +/- 88.299454,-0.0016197103 +/- 0.014244957,2.1113036 +/- 0.021437648,74.45016 +/- 0.57868198,0.21015876 +/- 0.0020706503,1.3169704 +/- 0.0068801266
cis-1-3-butadiene_EEF00125-z_SP,Bond 6 from INS: Volume,C 2: Max (node 6134) from INS: Volume,0.007991503,350.99012,10.459581,147.64164,101.59042,-0.020384065,-0.22002672,0.19964265,-0.012625246,-0.38299912,-7.5680409,0.37037387,9.6526279,2.0845869,1.7864059,9.8072901,7.430237,0.29415191,1.7786711,0.29906624,1903.2888,3168.7092,0.012625246,1.1882734,27.238811,0.15669724,0.32385053,0.028214547,6.9454225,0.34970528,3.89569,2.1400687,-0.017713637,-0.017778511,6.4873995e-05,-0.028489914,-0.028638066,-0.37745584,0.00014815236,0.039992236,-0.3374636,0.078420219,0.40116967,0.56430759,0.022340089,0.089197921,0.017772461,94.484511,176.59891,0.028489914,0.042875297,1.157364,0.0041413005,0.013760253,-0.0061157704 +/- 0.014107273,347.51741 +/- 3.4727113,10.284729 +/- 0.17485264,145.69379 +/- 1.947845,100.52039 +/- 1.0700343,-0.011527246 +/- 0.0088568186,-0.21113746 +/- 0.0088892556,0.19961022 +/- 3.2436998e-05,0.0016197109 +/- 0.014244957,-0.36868008 +/- 0.014319033,-7.379313 +/- 0.18872792,0.3702998 +/- 7.4076178e-05,9.6326317 +/- 0.019996118,2.2533187 +/- 0.1687318,1.7471958 +/- 0.039210109,9.6067053 +/- 0.20058484,7.1480832 +/- 0.28215379,0.28298187 +/- 0.011170044,1.7340721 +/- 0.04459896,0.29018001 +/- 0.0088862305,1856.0466 +/- 47.242256,3080.4098 +/- 88.299454,-0.0016197109 +/- 0.014244957,1.1668358 +/- 0.021437648,26.660129 +/- 0.57868198,0.15462659 +/- 0.0020706503,0.3169704 +/- 0.0068801266
